Run Id,Source,Key,Distance,Duration (ms),Duration,Speed,HR Average,HR Max,HR Min,Start Date,Start Date (utc),Created Date (utc),Updated Date (utc),Is Deleted,Is Manual Edit,Elevation Gained,Elevation Lost,Hill Difficulty,SPI,Description,Tags
19428272,GarminPush,46742|2020-02-28T06:45:15,12.57863,3981517,1:06:21,11.3733202696359,162,175,97,28/02/20 7:45,28/02/20 6:45,28/02/20 7:54,28/02/20 7:54,False,False,51,45,2,564,,
19410204,GarminPush,46742|2020-02-26T11:03:27,13.61312,4588825,1:16:28,10.6796907705131,148,162,85,26/02/20 12:03,26/02/20 11:03,26/02/20 12:43,26/02/20 12:43,False,False,45,51,2,526,"après 2j de pause pour reposer mes TA. pas de douleurs. Sous les giboulés pluie et grèle, bien mouillé",
19375670,GarminPush,46742|2020-02-23T07:58:37,12.91208,4088146,1:08:08,11.3703101601557,163,175,104,23/02/20 8:59,23/02/20 7:59,23/02/20 10:12,23/02/20 10:12,False,False,53,48,2,565,du vent au retour,
19368734,GarminPush,46742|2020-02-22T08:53:24,11.26541,3567456,59:27,11.3681783321224,161,177,105,22/02/20 9:53,22/02/20 8:53,22/02/20 9:57,22/02/20 9:57,False,False,48,47,2,557,,
19339596,GarminPush,46742|2020-02-19T10:57:06,10.26079,3522411,58:42,10.4868069058381,149,164,110,19/02/20 11:57,19/02/20 10:57,23/02/20 10:13,23/02/20 10:13,False,False,24,30,2,498,sortie écourtée car douleurs talon gauche,
19327456,GarminPush,46742|2020-02-18T11:01:28,11.27243,3958897,1:05:58,10.2505187682327,143,160,58,18/02/20 12:01,18/02/20 11:01,23/02/20 10:13,23/02/20 10:13,False,False,27,24,2,489,douleur inhabituelle au talon gauche en début de sortie,
19301078,GarminPush,46742|2020-02-16T07:42:41,13.71886,4537709,1:15:37,10.8838834751193,157,167,103,16/02/20 8:43,16/02/20 7:43,16/02/20 9:00,16/02/20 9:00,False,False,93,84,2,539,,
19280242,GarminPush,46742|2020-02-14T11:00:57,12.13851,4149868,1:09:09,10.5301267413807,151,167,76,14/02/20 12:01,14/02/20 11:01,14/02/20 12:13,14/02/20 12:13,False,False,44,40,2,510,,
19262508,GarminPush,46742|2020-02-12T10:59:43,14.22516,4423824,1:13:43,11.5760880179682,161,178,83,12/02/20 12:00,12/02/20 11:00,12/02/20 13:18,12/02/20 13:18,False,False,50,57,2,584,,
19242525,GarminPush,46742|2020-02-10T10:57:52,11.04179,3526687,58:46,11.2713274526489,158,175,85,10/02/20 11:58,10/02/20 10:58,10/02/20 12:50,10/02/20 12:50,False,False,35,52,2,550,,
19214212,GarminPush,46742|2020-02-08T07:47:40,14.16188,5123563,1:25:23,9.95064723513696,157,181,115,8/02/20 8:48,8/02/20 7:48,8/02/20 9:18,8/02/20 9:18,False,False,246,222,3,483,,
19196514,GarminPush,46742|2020-02-06T10:51:01,12.03015,4498735,1:14:58,9.62682620781175,144,161,97,6/02/20 11:51,6/02/20 10:51,6/02/20 12:09,6/02/20 12:09,False,False,35,30,2,454,,
19183537,GarminPush,46742|2020-02-05T10:58:25,14.3977,4493341,1:14:53,11.5352295763887,158,177,91,5/02/20 11:58,5/02/20 10:58,5/02/20 12:17,5/02/20 12:17,False,False,55,52,2,582,,
19139205,GarminPush,46742|2020-02-02T07:53:49,15.77568,5114413,1:25:14,11.1043922342603,162,175,94,2/02/20 8:54,2/02/20 7:54,2/02/20 9:21,2/02/20 9:21,False,False,62,70,2,561,,
19105394,GarminPush,46742|2020-01-31T10:59:22,12.11126,4219809,1:10:19,10.3323482176563,159,180,91,31/01/20 11:59,31/01/20 10:59,31/01/20 12:12,31/01/20 12:12,False,False,112,107,3,498,,
19087101,GarminPush,46742|2020-01-29T10:54:37,13.85752,4844861,1:20:44,10.2969046996395,152,167,93,29/01/20 11:55,29/01/20 10:55,29/01/20 12:18,29/01/20 12:18,False,False,39,43,2,503,,
19066307,GarminPush,46742|2020-01-27T10:58:19,11.26541,4307575,1:11:47,9.41492045988752,143,164,85,27/01/20 11:58,27/01/20 10:58,27/01/20 12:13,27/01/20 12:13,False,False,45,39,2,438,,
19050083,GarminPush,46742|2020-01-26T08:14:03,13.72937,4418042,1:13:38,11.1872481067405,160,177,101,26/01/20 9:14,26/01/20 8:14,26/01/20 9:30,26/01/20 9:30,False,False,59,61,2,558,,
19028081,GarminPush,46742|2020-01-23T11:02:33,12.08632,4206499,1:10:06,10.3436972170919,152,162,96,23/01/20 12:03,23/01/20 11:03,23/01/20 12:15,23/01/20 12:15,False,False,31,23,2,498,,
18996568,GarminPush,46742|2020-01-21T11:00:36,11.27457,3806718,1:03:26,10.6623217165022,162,184,93,21/01/20 12:01,21/01/20 11:01,21/01/20 12:08,21/01/20 12:08,False,False,41,40,2,514,,
18965910,GarminPush,46742|2020-01-19T08:22:43,13.75351,4551578,1:15:51,10.8781253446607,156,167,100,19/01/20 9:23,19/01/20 8:23,19/01/20 9:41,19/01/20 9:41,False,False,59,66,2,539,,
18944292,GarminPush,46742|2020-01-17T10:53:28,10.85184,3682932,1:01:22,10.6074790411553,154,183,85,17/01/20 11:53,17/01/20 10:53,17/01/20 11:57,17/01/20 11:57,False,False,39,43,2,509,,
18917984,GarminPush,46742|2020-01-15T10:56:11,11.19266,3925382,1:05:25,10.2648802078371,157,190,91,15/01/20 11:56,15/01/20 10:56,15/01/20 12:04,15/01/20 12:04,False,False,25,33,2,490,,
18849044,GarminPush,46742|2020-01-12T08:33:33,13.53816,4647076,1:17:27,10.4877510073001,156,171,116,12/01/20 9:34,12/01/20 8:34,12/01/20 9:56,12/01/20 9:56,False,False,58,69,2,514,,
18786868,GarminPush,46742|2020-01-08T11:00:37,12.04066,4158033,1:09:18,10.4247311168526,166,190,86,8/01/20 12:01,8/01/20 11:01,8/01/20 12:12,8/01/20 12:12,False,False,33,32,2,503,,
18725465,GarminPush,46742|2020-01-05T08:43:32,12.67843,4202216,1:10:02,10.8614949826473,163,180,97,5/01/20 9:44,5/01/20 8:44,5/01/20 9:55,5/01/20 9:55,False,False,51,55,2,533,,
18563038,GarminPush,46742|2020-01-01T09:34:58,5.52363,2109983,35:09,9.42427877381003,160,177,108,1/01/20 10:35,1/01/20 9:35,1/01/20 10:47,1/01/20 10:47,False,False,36,36,2,402,"Super soleil, super température, petite brume, pas.de douleurs",
18517266,GarminPush,46742|2019-12-31T10:11:30,10.66314,3989706,1:06:29,9.62158715454221,150,168,92,31/12/19 11:12,31/12/19 10:12,31/12/19 15:31,31/12/19 15:31,False,False,35,36,2,448,"petites gènes intermittentes aux 2 TA. Bonne allure et bon cardio, trop chaud.",
